code,ind_name
ST.12.1,Improved operational standards
ST.13.1,Practices of the relevant stakeholder improved (inclusive procurement practices of companies in the client's supply chain) 
ST.115.1,Share of equity fund's investment allocated to a region
O.14.1,Project implementation support completed: PIU established
O.5.1,Policy advice delivered: Draft recommendations for improved policy/strategy submitted
ST.2.1,State ownership reduced: full private ownership
LT.4.1,Sales Turnover/Revenue of client
ST.31.1,New financing instrument or method introduced: asset class (e.g. derivatives including ETFs)
LT.16.1,Operational performance of the client: productivity
ST.18.1,Number of investee firms invested by the fund: region
LT.97.1,Equity fund financial performance: Gross multiple
ST.75.1,Expanded access of infrastructure
LT.21.1,Total gross insurance premium for mortgage
ST.121.1,Average size of loans disbursed by partner financial institution to clients in mortgage
ST.79.1,Improved quality of infrastructure
LT.19.1,Number of outstanding loans of partner financial institution for mortgage
ST.10.1,Number of loans disbursed by partner financial institution disbursed for mortgage
LT.5.1,EBITDA Margin
ST.23.1,Number of new/improved ICT service(s) connections
LT.22.1,Financial performance of partner financial institution: NPL (or other asset quality) ratio
ST.78.1,Number of new international tenants attracted
ST.114.1,Number of individuals in women receiving knowledge as a result of outreach activities
ST.16.1,Number of women enhancing their skills as a result of training
ST.103.1,Client engages in policy dialogue: mobilising other stakeholders
O.8.1,Business advisory recommendations agreed: Draft CGAP prepared
ST.1.1,Client enters or expands activities in a international market
LT.1.1,Volume of outstanding loans of partner financial institution for mortgage
LT.2.1,Agriculture productivity of the client
O.13.1,Project preparation product approved: Feasibility study approved
O.6.1,Training provided to individuals
ST.9.1,Volume of loans disbursed by partner financial institution for mortgage
ST.113.1,Share of local private investors in capital market instrument or equity fund at the issuance
ST.15.1,New or updated technology introduced
ST.19.1,Targeted composition of investors achieved by final close of the capital market instrument
ST.21.1,Cooperation partnership between private sector and education providers established or strengthened in R&D
LT.11.1,Number of suppliers improving quality of products
ST.12.2,Improved environmental standards
ST.13.2,Practices of the relevant stakeholder improved (inclusive procurement practices of the client's holding company) 
ST.115.2,Share of equity fund's investment allocated to a SME
O.14.2,Project implementation support completed: Client adopts inclusive procurement recommendations
O.5.2,Policy advice delivered: Draft recommendations for improved legal
ST.2.2,State ownership reduced: state ownership reduction to target levels
LT.4.2,Sales Turnover/Revenue of investee firm of equity fund
ST.31.2,New financing instrument or method introduced: non-recourse
LT.16.2,Operational performance of the client: efficiency
ST.18.2,Number of investee firms invested by the fund: SME
LT.97.2,Equity fund financial performance: Net Total Value To Paid-in Ratio
ST.75.2,Expanded access of ICT
LT.21.2,Total gross insurance premium for leasing
ST.121.2,Average size of loans disbursed by partner financial institution to clients in leasing
ST.79.2,Improved quality of ICT
LT.19.2,Number of outstanding loans of partner financial institution for leasing
ST.10.2,Number of loans disbursed by partner financial institution disbursed for leasing
LT.5.2,Operating Profit Margin (EBIT)
ST.23.2,Number of new/improved water service(s) connections
LT.22.2,Financial performance of partner financial institution: Regulatory Capital Adequacy Ratio
ST.78.2,Number of new customers attracted
ST.114.2,Number of individuals in youth receiving knowledge as a result of outreach activities
ST.16.2,Number of youth enhancing their skills as a result of training
ST.103.2,Client engages in policy dialogue: providing substantial contributions to activities
O.8.2,Business advisory recommendations agreed: Anti-corruption plan approved
ST.1.2,Client enters or expands activities in a domestic market
LT.1.2,Volume of outstanding loans of partner financial institution for leasing
LT.2.2,Factor productivity of the client
O.13.2,Project preparation product approved: Due diligence report approved
O.6.2,Training provided to households
ST.9.2,Volume of loans disbursed by partner financial institution for leasing
ST.113.2,Share of non-IFI/non-DFI institutional investors in capital market instrument or equity fund at the issuance
ST.15.2,New or updated equipment introduced
ST.19.2,Targeted composition of investors achieved by final close of the fund
ST.21.2,Cooperation partnership between private sector and education providers established or strengthened to support learning opportunities for women
LT.11.2,Number of suppliers improving quality of operational standards
ST.12.3,Improved business standards
ST.13.3,Practices of the relevant stakeholder improved (equal opportunity practices of the client) 
ST.115.3,Share of equity fund's investment allocated to a other
O.14.3,Project implementation support completed: Corporate Development Plan approved
O.5.3,Policy advice delivered: institutional or regulatory framework submitted
ST.2.3,State ownership reduced: partial privatization
ST.31.3,New financing instrument or method introduced: bond
LT.16.3,Operational performance of the client: working capital cycle/cash conversion cycle
ST.18.3,Number of investee firms invested by the fund: other
LT.97.3,Equity fund financial performance: Net TVPI
ST.75.3,Expanded access of water services
LT.21.3,Total gross insurance premium for SMEs
ST.121.3,Average size of loans disbursed by partner financial institution to clients in SMEs
ST.79.3,Improved quality of water services
LT.19.3,Number of outstanding loans of partner financial institution for SMEs
ST.10.3,Number of loans disbursed by partner financial institution disbursed for SMEs
LT.5.3,Gross Profit Margin
ST.23.3,Number of new/improved wastewater service(s) connections
LT.22.3,Financial performance of partner financial institution: Regulatory Liquidity Ratio(s)
ST.78.3,Number of new distributors attracted
ST.114.3,Number of individuals in local population receiving knowledge as a result of outreach activities
ST.16.3,Number of local population enhancing their skills as a result of training
ST.103.3,Client engages in policy dialogue: attending meetings
O.8.3,Business advisory recommendations agreed: Recommendations for enhancements to management practices approved
ST.1.3,Client enters or expands activities in a other
