code,ind_name,ind_name_desc
ST.12.1,Improved operational standards,"Improved standard of client/supplier/stakeholder is defined as specific measurable performance indicators which show improvement as per identified metric. The type of standards will be specified from the following list: operational standards, environmental standards, business standards, financial standards, licensing standards, quality standards, health & safety standards, procurement standards, reporting standards, cyanide management standards, CSR reporting standards, GRI standards, IFRS/GAAP standards, energy management standards (including building /goods certifications)."
ST.13.1,Practices of the relevant stakeholder improved (inclusive procurement practices of companies in the client's supply chain) ,"Practices of the client or relevant stakeholder improved as targeted is defined as those practices that have been raised to a better quality or standard defined by measurable performance indicators agreed upon at project signing. The type of practices will be specified from the following list: inclusive procurement practices of companies in the client's supply chain, inclusive procurement practices of the client's holding company, equal opportunity practices of the client, equal opportunity practices of companies in the client's supply chain, equal opportunity practices of the client's holding company, environmental, EMS/disclosure, agriculture-specific practices (SEED toolkit/Smart retail concept/supply chain mapping), permitting/licensing procedures, social protection measures, system reliability, NPL domain, deposit insurance, operational, anti-corruption action plan, MSME non-financial management, others, innovative green business model, climate change adaptation practices."
ST.115.1,Share of equity fund's investment allocated to a region,The share of total equity fund investment as per the targeted segment (SME or Region).
O.14.1,Project implementation support completed: PIU established,"Project implementation support is the provision of expertise to support the implementation and/or the monitoring of an engagement. Project implementation support is considered to be completed when the defined product or activity has been delivered to the client in the agreed timeframe and to the required specifications. This can include the final drafting or approval of a report with recommendations or plan and support for implementation of the recommendations/plan. It can also include support to ensure compliance with EBRD requirements, standards and covenants. The nature of the support to be implemented should be specified at project design/approval."
O.5.1,Policy advice delivered: Draft recommendations for improved policy/strategy submitted,"Policy advice delivered to the client by EBRD or consultant(s) through a policy related report on time and as defined in the project. This may include: policy recommendations that contribute to a policy or strategy submitted and/or a legal/institutional or regulatory framework submitted. The type of policy advice delivered and to which party (government, client, etc.) should be specified during project implementation."
ST.2.1,State ownership reduced: full private ownership,"This indicates that the asset share owned by the state in a given sector was reduced during the reporting period. The nature of the target mechanism should be specified in the project design/approval. The type of state ownership reduced will be specified from the following menu: full private ownership, state ownership reduction to target levels, partial privatization."
LT.4.1,Sales Turnover/Revenue of client,Amount of money accrued by the EBRD beneficiary firm from the selling of goods and services over a reporting period. Beneficiary firm could be: client or investee company of equity fund.
ST.31.1,New financing instrument or method introduced: asset class (e.g. derivatives including ETFs),"The evidence of new financing instrument or method introduced specify. The type of instrument or method introduced will be specified from the following menu: asset class (e.g. derivatives, ETFs), non-recourse, bond, swap, syndication, agriculture-financing, green bonds, infra financing instruments (bond, PPP, ESCO, concession), non-recourse lending, streaming, mezzanine, listed investment entities, YieldCos, risk sharing, others."
LT.16.1,Operational performance of the client: productivity,"The specified operational performance or efficiency metrics of the client. Examples of such measures (depending on sector/project circumstances) could include: efficiency (cost/employees), cost savings, working capital cycle, cost per unit, input use, losses reduced, waste reduced, fare box ratio, availability rate, revenue collection rate, response time, waste recovery rate. The metric of operational performance or efficiency will be specified from the following menu: productivity, efficiency, working capital cycle/cash conversion cycle, cost savings, waste reduction, export share, other."
ST.18.1,Number of investee firms invested by the fund: region,"Number of investee firms that the equity fund invested in target segment. The type of target segment will be specified from the following menu: region, SME, other; type of investees (innovative, corporate etc.)."
LT.97.1,Equity fund financial performance: Gross multiple,"Equity fund financial performance (Metric of equity) is defined as the financial performance of equity fund over reporting period. It is a subjective metric of how well the fund has performed in a reporting period. The type of measure will be specified from the following menu: Gross multiple, Net Total Value To Paid-in Ratio (net TVPI), gross IRR, net IRR)."
ST.75.1,Expanded access of infrastructure,"Expanded access of services and products specify. Client expands access to or improves quality of services and products. The type of services and products specified from the following menu: infrastructure, ICT, water services, electricity services, within regions, across regions, natural resources product or services. The number of recipients should be disaggregated by sex."
LT.21.1,Total gross insurance premium for mortgage,Volume (millions) expressed in EUR equivalent of total gross insurance premium for target segment at the end of the reporting period. The type of target segment will be specified from the following menu: life and non-life.
