OPID_BENCH,ind_name
6121_1832,Increase BT Market share
6121_1833,Gradual narrowing of deposit/lending interest rates applied by Romanian banks
6121_1834,Increase lending activity
6121_1835,The upgrade of branches and the ATM newtork in co-ordination with a new corporate image
6121_1836,The further strengthening of BT's management
6121_1837,The implementation of an ambitious training programme to improve the staff's banking skills
6121_1838,"Finalising the creation of an integrated financial group, to include leasing, insurance and asset management services"
6121_1839,"The implementation of the new I system, under development for the last two years"
6121_1840,Sale to a strategic investor
6121_12912,Wider range of products offered
27309_3526,Adoption of revised responsibilities for the Supervisory Board to be agreed with the EBRD
27309_3527,Establishment and implementation of a fully independent risk management function
27309_3528,"Orgganisational re-structuring where applicable, in the line with international best practice"
27309_3529,Growth in lending
27309_3530,Increase in market share for lending and deposits
27309_3531,"Introduction of new products (for example, mortage loans)"
27309_3532,Maintain adequate ratios in line with international best practice for capital adequacy and liquidity 
27309_3533,Improvement of the overhead (cost/income)ratio)
33833_4251,Meeting SEEREM requirements
33833_4252,Compliance with Policy Statement/Energy Strategy/SEEREM
33833_4253,"Establish by December 31 2005 a wholly-owned subsidiary to own and operate the Project and by December 31, 2006 enter into a PPA with this subsidiary."
33833_4254,Project is IPP-style
33833_4255,Project covenants
33833_4256,"Meet the Action plan milestones, including loss and collections targets and tariff adjustments"
34563_98,Hands on management approach in at least 90% of investee 
34563_99,At least 60% of funds coming from private investors
34563_100,Successful raising of subsequent SEE/SEE funds 
34563_101,Commercial success of the fund (at least 25% gross and 15% net IRR) 
34563_102,At least 2/3 investee companies exited to strategic partners or via capital markets 
34563_103,"At least 40% of investments (amount and number) made outside Poland, Hungary and the Czech Republic "
34563_104,Promotion of at least 2-3 locally based staff to partner level 
34563_105,Enhanced quality of local staff 
34563_106,"At least third of transactions structured as leveraged buy-outs, management buy-outs/buy-ins, private equity consortium leads or privatisations "
34563_107,Board position in at least 90% of investee companies 
34894_4994,Ability to attract quality investors (expected commitment from private investors of min 25% to come from non-IFI sources);
34894_4995,Growth in funds under management
